Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	339590.362	339590.362	339590.362	339590.362	0	0	0	0	0	0	3
2	1	0	0.05	340170.346	339880.354	339590.362	340170.346	289.992071	0	0	0	0	0	3
3	1	0	0.075	340228.494	339996.401	339590.362	340228.494	406.038972	0	0	0	0	0	3
4	2	0	0.1	339773.587	339940.697	339590.362	340228.494	406.038972	0	0	0	0	0	3
5	2	0	0.125	339578.483	339868.254	339578.483	340228.494	406.038972	0	0	0	0	0	3
6	2	0	0.15	339296.953	339773.037	339296.953	340228.494	406.038972	0	0	0	0	0	3
7	2	0	0.175	339478.532	339730.965	339296.953	340228.494	406.038972	0	0	0	0	0	3
8	2	0	0.2	339376.411	339686.646	339296.953	340228.494	406.038972	0	0	0	0	0	3
9	2	0	0.225	339268.123	339640.143	339268.123	340228.494	406.038972	0	0	0	0	0	3
10	2	0	0.25	339280.669	339604.196	339268.123	340228.494	406.038972	0	0	0	0	0	3
11	2	0	0.275	339238.491	339570.95	339238.491	340228.494	425.450654	0	0	0	0	0	3
12	2	0	0.3	338994.032	339522.873	338994.032	340228.494	473.527109	0	0	0	0	0	3
13	2	0	0.325	338973.495	339480.614	338973.495	340228.494	515.787019	0	0	0	0	0	3
14	2	0	0.35	338792.073	339431.432	338792.073	340228.494	564.968484	0	0	0	0	0	3
15	2	0	0.375	338806.482	339389.769	338792.073	340228.494	606.631795	0	0	0	0	0	3
16	3	0	0.4	337903.41	339296.871	337903.41	340228.494	699.529202	0	0	0	0	0	3
17	3	0	0.425	337081.529	339166.557	337081.529	340228.494	829.843438	0	0	0	0	0	3
18	3	0	0.45	335816.498	338980.443	335816.498	340228.494	1015.95782	0	0	0	0	0	3
19	3	0	0.475	335498.06	338797.159	335498.06	340228.494	1199.24112	0	0	0	0	0	3
20	3	0	0.5	335079.546	338611.279	335079.546	340228.494	1385.12179	0	0	0	0	0	3
21	3	0	0.525	335139.042	338388.713	335079.546	340228.494	1607.68778	0	0	0	0	0	3
22	3	0	0.55	334796.745	338120.033	334796.745	340228.494	1876.36782	0	0	0	0	0	3
23	3	0	0.575	333880.456	337802.631	333880.456	339773.587	2138.06622	0	0	0	0	0	3
24	3	0	0.6	334070.209	337517.462	333880.456	339578.483	2350.79228	0	0	0	0	0	3
25	3	0	0.625	334677.647	337272.42	333880.456	339478.532	2500.61724	0	0	0	0	0	3
26	3	0	0.65	335646.205	337089.883	333880.456	339478.532	2641.08241	0	0	0	0	0	3
27	4	0	0.675	336710.505	336951.481	333880.456	339376.411	2735.16443	0	0	0	0	0	3
28	4	0	0.7	337177.998	336841.561	333880.456	339280.669	2798.58249	0	0	0	0	0	3
29	4	0	0.725	337784.085	336767.359	333880.456	339280.669	2836.83694	0	0	0	0	0	3
30	4	0	0.75	336921.855	336649.418	333880.456	339238.491	2921.53168	0	0	0	0	0	3
31	4	0	0.775	336308.73	336502.93	333880.456	338994.032	3019.94327	0	0	0	0	0	3
32	4	0	0.8	335565.365	336331.497	333880.456	338973.495	3149.11675	0	0	0	0	0	3
33	4	0	0.825	335322.197	336148.932	333880.456	338806.482	3282.50017	0	0	0	0	0	3
34	4	0	0.85	334842.625	335951.46	333880.456	338806.482	3438.30924	0	0	0	0	0	3
35	4	0	0.875	335535.207	335787.896	333880.456	337903.41	3508.97559	0	0	0	0	0	3
36	4	0	0.9	334160.935	335600.772	333880.456	337784.085	3565.78513	0	0	0	0	0	3
37	4	0	0.925	334108.722	335452.132	333880.456	337784.085	3528.31113	0	0	0	0	0	3
38	4	0	0.95	333719.2	335347.267	333719.2	337784.085	3449.89273	0	0	0	0	0	3
39	5	0	0.975	334287.198	335286.724	333719.2	337784.085	3324.55517	0	0	0	0	0	3
40	5	0	1	334502.031	335257.848	333719.2	337784.085	3130.86492	976.39411	0	31.1	0	0	3
41	5	0	1.025	334987.584	335250.275	333719.2	337784.085	2869.75777	976.39411	0	34	0	0	3
42	5	0	1.05	334772.893	335249.082	333719.2	337784.085	2553.54843	976.39411	0	38.2	0	0	3
43	5	0	1.075	334094.862	335259.803	333719.2	337784.085	2268.37958	976.39411	0	43	0	0	3
44	5	0	1.1	333579.27	335179.777	333579.27	337784.085	2337.68466	976.39411	0	41.7	0	0	3
45	5	0	1.125	333744.429	335164.264	333579.27	337784.085	2108.15621	976.39411	0	46.3	0	0	3
46	5	0	1.15	333913.383	335127.87	333579.27	337784.085	1962.01229	976.39411	0	49.7	0	0	3
47	5	0	1.175	334347.315	335066.019	333579.27	337784.085	1885.46285	976.39411	0	51.7	0	0	3
48	5	0	1.2	334378.664	334954.979	333579.27	337784.085	1886.5823	976.39411	0	51.7	0	0	3
49	5	0	1.225	334690.861	334836.543	333579.27	337784.085	1930.8155	976.39411	0	50.5	0	0	3
50	6	0	1.25	333887.053	334650.97	333579.27	336921.855	1998.44777	976.39411	0	48.8	0	0	3
51	6	0	1.275	334410.805	334531.397	333579.27	336308.73	1971.53354	976.39411	0	49.5	0	0	3
52	6	0	1.3	334387.415	334439.905	333579.27	335565.365	1891.59133	976.39411	0	51.6	0	0	3
53	6	0	1.325	334474.143	334387.943	333579.27	335535.207	1760.98937	976.39411	0	55.4	0	0	3
54	6	0	1.35	333977.814	334323.924	333579.27	335535.207	1627.53523	976.39411	0	59.9	0	0	3
55	6	0	1.375	334372.217	334301.524	333579.27	335535.207	1486.37188	976.39411	0	65.6	0	0	3
56	6	0	1.4	334250.766	334240.36	333579.27	334987.584	1360.41198	976.39411	0	71.7	0	0	3
