Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	224016.464	224016.464	224016.464	224016.464	0	0	0	0	0	0	3
2	1	0	0.05	163458.57	193737.517	163458.57	224016.464	30278.9472	0	0	0	0	0	3
3	1	0	0.075	125526.424	171000.486	125526.424	224016.464	53015.9782	0	0	0	0	0	3
4	2	0	0.1	112967.821	156492.32	112967.821	224016.464	67524.1446	0	0	0	0	0	3
5	2	0	0.125	117467.964	148687.449	112967.821	224016.464	75329.0159	0	0	0	0	0	3
6	2	0	0.15	124554.734	144665.329	112967.821	224016.464	79351.135	0	0	0	0	0	3
7	2	0	0.175	129682.959	142524.991	112967.821	224016.464	81491.4736	0	0	0	0	0	3
8	2	0	0.2	131018.401	141086.667	112967.821	224016.464	82929.7973	0	0	0	0	0	3
9	2	0	0.225	131646.804	140037.793	112967.821	224016.464	83978.671	0	0	0	0	0	3
10	2	0	0.25	132550.554	139289.07	112967.821	224016.464	84727.395	0	0	0	0	0	3
11	2	0	0.275	138778.053	139242.613	112967.821	224016.464	84773.851	0	0	0	0	0	3
12	2	0	0.3	141968.957	139469.809	112967.821	224016.464	84773.851	0	0	0	0	0	3
13	2	0	0.325	143880.216	139809.071	112967.821	224016.464	84773.851	0	0	0	0	0	3
14	2	0	0.35	145176.096	140192.43	112967.821	224016.464	84773.851	0	0	0	0	0	3
15	2	0	0.375	145577.6	140551.441	112967.821	224016.464	84773.851	0	0	0	0	0	3
16	3	0	0.4	146949.977	140951.35	112967.821	224016.464	84773.851	0	0	0	0	0	3
17	3	0	0.425	147698.155	141348.221	112967.821	224016.464	84773.851	0	0	0	0	0	3
18	3	0	0.45	149622.547	141807.905	112967.821	224016.464	84773.851	0	0	0	0	0	3
19	3	0	0.475	151055.861	142294.64	112967.821	224016.464	84773.851	0	0	0	0	0	3
20	3	0	0.5	152318.268	142795.821	112967.821	224016.464	84773.851	0	0	0	0	0	3
21	3	0	0.525	154114.578	139300.727	112967.821	163458.57	50490.7494	0	0	0	0	0	3
22	3	0	0.55	156597.817	138957.689	112967.821	156597.817	32042.7969	0	0	0	0	0	3
23	3	0	0.575	158537.047	140608.22	112967.821	158537.047	17534.6305	0	0	0	0	0	3
24	3	0	0.6	160768.678	142998.263	117467.964	160768.678	9729.7593	0	0	0	0	0	3
25	3	0	0.625	162736.403	145261.685	124554.734	162736.403	6303.996	0	0	0	0	0	3
26	3	0	0.65	165289.426	147298.42	129682.959	165289.426	8340.73058	0	0	0	0	0	3
27	4	0	0.675	167749.579	149201.751	131018.401	167749.579	10244.0616	0	0	0	0	0	3
28	4	0	0.7	170665.487	151184.105	131646.804	170665.487	12226.4159	0	0	0	0	0	3
29	4	0	0.725	173347.682	153269.149	132550.554	173347.682	14311.4598	0	0	0	0	0	3
30	4	0	0.75	175658.432	155424.543	138778.053	175658.432	16466.8537	0	0	0	0	0	3
31	4	0	0.775	177551.034	157363.192	141968.957	177551.034	18405.5027	0	0	0	0	0	3
32	4	0	0.8	179774.114	159253.45	143880.216	179774.114	20295.7606	0	0	0	0	0	3
33	4	0	0.825	181633.84	161141.131	145176.096	181633.84	22183.4418	0	0	0	0	0	3
34	4	0	0.85	183093.474	163037	145577.6	183093.474	24079.3107	0	0	0	0	0	3
35	4	0	0.875	184213.483	164968.794	146949.977	184213.483	26011.1048	0	0	0	0	0	3
36	4	0	0.9	185521.303	166897.36	147698.155	185521.303	27939.6711	0	0	0	0	0	3
37	4	0	0.925	186666.368	168845.771	149622.547	186666.368	29888.0817	0	0	0	0	0	3
38	4	0	0.95	187979.894	170763.638	151055.861	187979.894	31805.9491	0	0	0	0	0	3
39	5	0	0.975	189173.448	172669.518	152318.268	189173.448	33711.8284	0	0	0	0	0	3
40	5	0	1	190233.987	174565.304	154114.578	190233.987	35607.6144	11589.925	0	32.5	0	0	3
41	5	0	1.025	191049.131	176412.031	156597.817	191049.131	34451.3136	11712.1966	0	33.9	0	0	3
42	5	0	1.05	192001.857	178182.233	158537.047	192001.857	33464.81	11783.651	0	35.2	0	0	3
43	5	0	1.075	192917.562	179901.259	160768.678	192917.562	32148.8834	11853.2544	0	36.8	0	0	3
44	5	0	1.1	193707.127	180558.681	160768.678	193707.127	32938.4489	11748.9094	0	35.6	0	0	3
45	5	0	1.125	194311.27	182155.948	162736.403	194311.27	31574.867	11589.925	0	36.7	0	0	3
46	5	0	1.15	195010.534	183692.811	165289.426	195010.534	29721.1088	11589.925	0	38.9	0	0	3
47	5	0	1.175	195570.108	185134.748	167749.579	195570.108	27820.5286	11589.925	0	41.6	0	0	3
48	5	0	1.2	196166.852	186487.952	170665.487	196166.852	25501.3644	11589.925	0	45.4	0	0	3
49	5	0	1.225	196582.911	187722.115	173347.682	196582.911	23235.2286	11589.925	0	49.8	0	0	3
50	6	0	1.25	196940.321	188845.574	175658.432	196940.321	21281.8888	11589.925	0	54.4	0	0	3
51	6	0	1.275	197231.946	189872.884	177551.034	197231.946	19680.9128	11589.925	0	58.8	0	0	3
52	6	0	1.3	197417.453	190818.904	179774.114	197417.453	17643.3394	11589.925	0	65.6	0	0	3
53	6	0	1.325	197562.455	191665.968	181633.84	197562.455	15928.6145	11589.925	0	72.7	0	0	3
54	6	0	1.35	197764.228	192434.081	183093.474	197764.228	14670.7545	11589.925	0	79	0	0	3
55	6	0	1.375	198023.003	193145.011	184213.483	198023.003	13809.5202	11589.925	0	83.9	0	0	3
56	6	0	1.4	198133.287	193807.859	185521.303	198133.287	12611.9843	11589.925	0	91.8	0	0	3
57	6	0	1.425	198363.845	194419.409	186666.368	198363.845	11697.4772	11589.925	0	99	0	0	3
58	6	0	1.45	198469.168	194981.447	187979.894	198469.168	10489.2735	11589.925	0	100	0	0	3
59	6	0	1.475	198548.592	195484.718	189173.448	198548.592	9375.14393	11589.925	0	100	0	0	3
60	6	0	1.5	198615.389	195934.335	190233.987	198615.389	8381.40152	11589.925	0	100	0	0	3
61	6	0	1.525	198865.402	196345.354	191049.131	198865.402	7816.27133	11589.925	0	100	0	0	3
62	7	0	1.55	198989.176	196723.452	192001.857	198989.176	6987.31914	11589.925	0	100	0	0	3
63	7	0	1.575	199247.217	197068.469	192917.562	199247.217	6329.65552	11589.925	0	100	0	0	3
64	7	0	1.6	199461.875	197380.103	193707.127	199461.875	5754.74794	11589.925	0	100	0	0	3
65	7	0	1.625	199783.206	197669.44	194311.27	199783.206	5471.93637	11589.925	0	100	0	0	3
66	7	0	1.65	199931.352	197937.063	195010.534	199931.352	4920.81746	11589.925	0	100	0	0	3
67	7	0	1.675	200295.139	198188.711	195570.108	200295.139	4725.03129	11589.925	0	100	0	0	3
68	7	0	1.7	200554.603	198426.068	196166.852	200554.603	4387.75122	11589.925	0	100	0	0	3
69	7	0	1.725	200946.657	198653.677	196582.911	200946.657	4363.74576	11589.925	0	100	0	0	3
